movieId,title_clean,title,q
76093,How to Train Your Dragon,How to Train Your Dragon (2010),how to train your dragon
172,Johnny Mnemonic,Johnny Mnemonic (1995),johnny mnemonic
3911,Best in Show,Best in Show (2000),best in show
71535,Zombieland,Zombieland (2009),zombieland
2078,"Jungle Book, The","Jungle Book, The (1967)","jungle book, the"
1282,Fantasia,Fantasia (1940),fantasia
673,Space Jam,Space Jam (1996),space jam
1997,"Exorcist, The","Exorcist, The (1973)","exorcist, the"
49530,Blood Diamond,Blood Diamond (2006),blood diamond
3,Grumpier Old Men,Grumpier Old Men (1995),grumpier old men
3160,Magnolia,Magnolia (1999),magnolia
225,Disclosure,Disclosure (1994),disclosure
45499,X-Men: The Last Stand,X-Men: The Last Stand (2006),x-men: the last stand
1639,Chasing Amy,Chasing Amy (1997),chasing amy
109374,"Grand Budapest Hotel, The","Grand Budapest Hotel, The (2014)","grand budapest hotel, the"
30707,Million Dollar Baby,Million Dollar Baby (2004),million dollar baby
1466,Donnie Brasco,Donnie Brasco (1997),donnie brasco
52973,Knocked Up,Knocked Up (2007),knocked up
3552,Caddyshack,Caddyshack (1980),caddyshack
6870,Mystic River,Mystic River (2003),mystic river
1215,Army of Darkness,Army of Darkness (1993),army of darkness
4848,Mulholland Drive,Mulholland Drive (2001),mulholland drive
4776,Training Day,Training Day (2001),training day
145,Bad Boys,Bad Boys (1995),bad boys
1645,The Devil's Advocate,The Devil's Advocate (1997),the devil's advocate
4239,Blow,Blow (2001),blow
2100,Splash,Splash (1984),splash
5010,Black Hawk Down,Black Hawk Down (2001),black hawk down
96079,Skyfall,Skyfall (2012),skyfall
333,Tommy Boy,Tommy Boy (1995),tommy boy
116797,The Imitation Game,The Imitation Game (2014),the imitation game
2424,You've Got Mail,You've Got Mail (1998),you've got mail
910,Some Like It Hot,Some Like It Hot (1959),some like it hot
8464,Super Size Me,Super Size Me (2004),super size me
88125,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2 (2011),harry potter and the deathly hallows: part 2
8361,"Day After Tomorrow, The","Day After Tomorrow, The (2004)","day after tomorrow, the"
3785,Scary Movie,Scary Movie (2000),scary movie
2105,Tron,Tron (1982),tron
33166,Crash,Crash (2004),crash
34048,War of the Worlds,War of the Worlds (2005),war of the worlds
34405,Serenity,Serenity (2005),serenity
5,Father of the Bride Part II,Father of the Bride Part II (1995),father of the bride part ii
216,Billy Madison,Billy Madison (1995),billy madison
3176,"Talented Mr. Ripley, The","Talented Mr. Ripley, The (1999)","talented mr. ripley, the"
4643,Planet of the Apes,Planet of the Apes (2001),planet of the apes
2641,Superman II,Superman II (1980),superman ii
2144,Sixteen Candles,Sixteen Candles (1984),sixteen candles
45447,"Da Vinci Code, The","Da Vinci Code, The (2006)","da vinci code, the"
5991,Chicago,Chicago (2002),chicago
5464,Road to Perdition,Road to Perdition (2002),road to perdition
661,James and the Giant Peach,James and the Giant Peach (1996),james and the giant peach
1275,Highlander,Highlander (1986),highlander
8784,Garden State,Garden State (2004),garden state
134130,The Martian,The Martian (2015),the martian
7458,Troy,Troy (2004),troy
2019,Seven Samurai (Shichinin no samurai),Seven Samurai (Shichinin no samurai) (1954),seven samurai (shichinin no samurai)
30749,Hotel Rwanda,Hotel Rwanda (2004),hotel rwanda
2763,"Thomas Crown Affair, The","Thomas Crown Affair, The (1999)","thomas crown affair, the"
1729,Jackie Brown,Jackie Brown (1997),jackie brown
1748,Dark City,Dark City (1998),dark city
186,Nine Months,Nine Months (1995),nine months
2694,Big Daddy,Big Daddy (1999),big daddy
3000,Princess Mononoke (Mononoke-hime),Princess Mononoke (Mononoke-hime) (1997),princess mononoke (mononoke-hime)
745,Wallace & Gromit: A Close Shave,Wallace & Gromit: A Close Shave (1995),wallace & gromit: a close shave
783,"Hunchback of Notre Dame, The","Hunchback of Notre Dame, The (1996)","hunchback of notre dame, the"
81834,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1 (2010),harry potter and the deathly hallows: part 1
1320,Alien³ (a.k.a. Alien 3),Alien³ (a.k.a. Alien 3) (1992),alien³ (a.k.a. alien 3)
4014,Chocolat,Chocolat (2000),chocolat
1358,Sling Blade,Sling Blade (1996),sling blade
1367,101 Dalmatians,101 Dalmatians (1996),101 dalmatians
7293,50 First Dates,50 First Dates (2004),50 first dates
8529,"Terminal, The","Terminal, The (2004)","terminal, the"
2539,Analyze This,Analyze This (1999),analyze this
899,Singin' in the Rain,Singin' in the Rain (1952),singin' in the rain
2717,Ghostbusters II,Ghostbusters II (1989),ghostbusters ii
77561,Iron Man 2,Iron Man 2 (2010),iron man 2
1092,Basic Instinct,Basic Instinct (1992),basic instinct
1994,Poltergeist,Poltergeist (1982),poltergeist
5679,"Ring, The","Ring, The (2002)","ring, the"
122882,Mad Max: Fury Road,Mad Max: Fury Road (2015),mad max: fury road
1921,Pi,Pi (1998),pi
2001,Lethal Weapon 2,Lethal Weapon 2 (1989),lethal weapon 2
54272,"Simpsons Movie, The","Simpsons Movie, The (2007)","simpsons movie, the"
64614,Gran Torino,Gran Torino (2008),gran torino
47099,"Pursuit of Happyness, The","Pursuit of Happyness, The (2006)","pursuit of happyness, the"
5060,M*A*S*H (a.k.a. MASH),M*A*S*H (a.k.a. MASH) (1970),m*a*s*h (a.k.a. mash)
3752,"Me, Myself & Irene","Me, Myself & Irene (2000)","me, myself & irene"
1396,Sneakers,Sneakers (1992),sneakers
1884,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas (1998),fear and loathing in las vegas
5902,Adaptation,Adaptation (2002),adaptation
5995,"Pianist, The","Pianist, The (2002)","pianist, the"
